Category,Item Description,May 2026,June 2026,July 2026,August 2026,Total (USD)
Revenue,Early Team SaaS Subscriptions ($49/mo),0.00,49.00,49.00,49.00,147.00
Revenue,Related-Party Revenue,0.00,0.00,0.00,0.00,0.00
Gross Revenue,Total Earned Revenue,0.00,49.00,49.00,49.00,147.00
COGS,Google Cloud Run Serverless Hosting,2.50,3.20,3.40,3.40,12.50
COGS,Google Gemini API Tokens & Embeddings,3.50,4.00,4.25,4.25,16.00
Total COGS,Cost of Goods Sold,6.00,7.20,7.65,7.65,28.50
Gross Profit,Gross Margin (80.6%),-6.00,41.80,41.35,41.35,118.50
Operating Expense,Marketing & Paid Acquisition,0.00,0.00,0.00,0.00,0.00
Operating Expense,Domain Registration (threatlens.ai),10.00,0.00,0.00,0.00,10.00
Total Operating Expense,Additional Expenses,10.00,0.00,0.00,0.00,10.00
Net Profit,Net Income / Profit,-16.00,41.80,41.35,41.35,108.50
